107	FAAM4	faːm⁴	凡(条目名称)	S7
108	FAAN6	faːn⁶	万	S8
109	FAANG1	faːŋ¹	方	S4
110	FAI4NU4	faːi⁴ nu⁴	家族	S8
111	FAN2	fan²	文曲星	S8
112	FEN1	fən¹	坤	S8
113	FONG1YONG2	foŋ¹ joŋ²	封融(条目名称)	S4
114	FONG2	foŋ²	堆(量词)	S1
115	FONG2DOU3	foŋ² tau³	灵前供盘	S5
116	FONG2NNED8TU5	foŋ² ȵət⁸ tʰu⁵	房日兔	S3
117	FU4	fu⁴	武曲星	S8
118	FU5	fu⁵	富	S6
119	GA1	ka¹	龙	S7
120	GA3	ka³	等待	S6
121	GA4FA1	ka⁴ fa¹	乞讨	S6
122	GAAM3	kaːm³	杈	S1
123	GAM3	kam³	与	S6
124	GAM6	kam⁶	闯越	S6
125	GEI5	kai⁵	蛋	S6
126	GEN3SUI3XGEN4	kən³ sui³ ɣən⁴	轸水蚓	S1
127	GGAAM1	qaːm¹	山洞	S6
128	GGAAN5GGONG1	qaːn⁵ qoŋ¹	干活	S6
129	GGAD7	qat⁷	割	S3
130	GGAG7	qak⁷	自	S6
131	GGAM1	qam¹	苦	S6
132	GGAM4	qam⁴	头	S3
133	GGAM4MOG8	qam⁴ mok⁸	树桩	S1
134	GGAM5JUM1LYONG2	qam⁵ ȶum¹ ljoŋ²	亢金龙	S3
135	GGAM5MOK8GGAO1	qam⁵ mok⁸ qaːu¹	角木蛟	S8
136	GGAN5	qan⁵	艮	S8
137	GGAO5	qaːu⁵	旧	S6
138	GGED7DYU5	qat⁷ tju⁵	剪断	S6
139	GGEE4	qe⁴	集市	S6
140	GGEEN1	qen¹	聪明	S6
141	GGEENG1	qeŋ¹	庚	S8
142	GGO1JEN1	qo¹ ȶən¹	队伍慢步移动	S5
143	GGOU3RAI5	qau³ zaːi⁵	抓;钩住	S5
144	GGUI5	qui⁵	槌	S4
145	GGUI5	qui⁵	击打	S4
146	GING3	kiŋ³	美丽	S6
147	GON5	kon⁵	先	S6
148	GU3GGON4	ku³ qon⁴	姑短(条目名称)	S7
149	GU3SUB7	ku³ sup⁷	程度	S5
150	GUB7	kup⁷	咀嚼	S5
151	GUI2	kui²	牛	S7
152	GUM1	kum¹	碓	S6
153	GUNG2	kuŋ²	多	S6
154	GWAAI5	kwaːi⁵	鬼怪	S4
155	GWAAN1	kwaːn¹	斧	S4
156	GWE1	kwə¹	"摇摇欲坠,稀疏"	S8
157	GWON1QYEN5	kwon³ ʔjən⁵	官印	S4
158	GWUN5	kwun⁵	根本	S6
159	HA3	ha³	杀	S6
160	HAAD8	haːt⁸	爬	S6
161	HAAG8	haːk⁸	地基	S6
162	HAAM1	haːm¹	三	S1
163	HAAN5	haːn⁵	散	S1
164	HAANG4	haːŋ⁴	养	S6
165	HAANG4DANG1	haːŋ⁴ taŋ¹	生出	S6
166	HAG7	hak⁷	堵塞	S5
167	HAI1	haːi¹	给	S6
168	HAI2	haːi²	柩	S4
169	HAI1GGONG1	haːi¹ qoŋ¹	出工	S8
170	HAM3	ham³	扑	S5
171	HAN5	han⁵	健康	S6
172	HAN5VI1	han⁵ vi¹	火籽	S6
173	HED7	hət⁷	戌	S1
174	HED8	hət⁸	尾巴	S6
175	HEE4	he⁴	造;做	S6
176	HEE4FAAB7	he⁴ faːp⁷	作法	S1
177	HEN2	hən²	地方	S6
178	HEN2	hən²	地域	S4
179	HEN5	hən⁵	巽	S8
180	HMA3	a³	赚	S6
181	HMAAG7	aːk⁷	劈	S6
182	HNGAAN5	ŋ̥aːn⁵	冷	S6
183	HNGAAN5HNGOU1	ŋ̥aːn⁵ ŋ̥au¹	冷清	S6
184	HNNAANG3	ȵ̥aːŋ³	米草	S6
185	HO3	ho³	穷	S8
186	HO4	ho⁴	放置	S6
187	HOI3FA3XGGOU1	hoi³ fa³ ʁau¹	觜火猴	S1
188	HONG5	hoŋ⁵	虫蛀	S3
189	HUI6	hui⁶	坐	S6
190	HUI6DAANG2	hui⁶ taːŋ²	"堂,坐堂"	S8
191	HUN4	hun⁴	送	S1
192	JA1	ȶa¹	架子	S6
193	JA6	ȶa⁶	假	S6
194	JAAB7	ȶaːp⁷	甲	S1
195	JAAB8	ȶaːp⁸	跨	S1
196	JAI5	ȶaːi⁵	边	S6
197	JAN3	ȶan³	紧	S6
198	JED7	ȶət⁷	吉	S7
199	JED7SAAD7	ȶət⁷ saːt⁷	劫杀	S4
200	JEEN2	ȶen²	乾	S8
201	JI1	ȶi¹	己	S2
202	JI1NGA6GGAI5	ȶi¹ ŋa⁶ qaːi⁵	饥饿如鸡	S4
203	JI1NGA6HMU5	ȶi¹ ŋa⁶ m̥u⁵	饥饿如猪	S4
204	JI1NGA6MA4	ȶi¹ ŋa⁶ ma⁴	饥饿如马	S4
205	JI2	ȶi²	旗	S4
206	JI3	ȶi³	几	S8
207	JID7	ȶit⁷	病	S6
208	JIU2	ȶiu²	桥	S6
209	JOD8	ȶot⁸	半	S6
210	JU2	ȶu²	巨	S1
211	JU3	ȶu³	九	S7
212	JU3GGAO3	ȶu³ qaːu³	九膏(条目名称)	S7
