U+1B39A	210 310 2923 4087 85
U+1B39B	210 310 2923 4417 85
U+1B39C	210 310 2923 4747 85
U+1B39D	210 310 2923 5077 85
U+1B39E	210 310 2923 5407 85
U+1B39F	210 310 2923 5737 85
U+1B3A0	210 310 3154 787 85
U+1B3A1	210 310 3154 1117 85
U+1B3A2	210 310 3154 1447 85
U+1B3A3	210 310 3154 1777 85
U+1B3A4	210 310 3154 2107 85
U+1B3A5	210 310 3154 2437 85
U+1B3A6	210 310 3154 2767 85
U+1B3A7	210 310 3154 3097 85
U+1B3A8	210 310 3154 3427 85
U+1B3A9	210 310 3154 3757 85
U+1B3AA	210 310 3154 4087 85
U+1B3AB	210 310 3154 4417 85
U+1B3AC	210 310 3154 4747 85
U+1B3AD	210 310 3154 5077 85
U+1B3AE	210 310 3154 5407 85
U+1B3AF	210 310 3154 5737 85
U+1B3B0	210 310 3385 787 85
U+1B3B1	210 310 3385 1117 85
U+1B3B2	210 310 3385 1447 85
U+1B3B3	210 310 3385 1777 85
U+1B3B4	210 310 3385 2107 85
U+1B3B5	210 310 3385 2437 85
U+1B3B6	210 310 3385 2767 85
U+1B3B7	210 310 3385 3097 85
U+1B3B8	210 310 3385 3427 85
U+1B3B9	210 310 3385 3757 85
U+1B3BA	210 310 3385 4087 85
U+1B3BB	210 310 3385 4417 85
U+1B3BC	210 310 3385 4747 85
U+1B3BD	210 310 3385 5077 85
U+1B3BE	210 310 3385 5407 85
U+1B3BF	210 310 3385 5737 85
U+1B3C0	210 310 3616 787 85
U+1B3C1	210 310 3616 1117 85
U+1B3C2	210 310 3616 1447 85
U+1B3C3	210 310 3616 1777 85
U+1B3C4	210 310 3616 2107 85
U+1B3C5	210 310 3616 2437 85
U+1B3C6	210 310 3616 2767 85
U+1B3C7	210 310 3616 3097 85
U+1B3C8	210 310 3616 3427 85
U+1B3C9	210 310 3616 3757 85
U+1B3CA	210 310 3615 4087 85
U+1B3CB	210 310 3615 4417 85
U+1B3CC	210 310 3615 4747 85
U+1B3CD	210 310 3615 5077 85
U+1B3CE	210 310 3615 5407 85
U+1B3CF	210 310 3616 5737 85
U+1B3D0	210 310 3847 787 85
U+1B3D1	210 310 3847 1117 85
U+1B3D2	210 310 3847 1447 85
U+1B3D3	210 310 3847 1777 85
U+1B3D4	210 310 3847 2107 85
U+1B3D5	210 310 3847 2437 85
U+1B3D6	210 310 3847 2767 85
U+1B3D7	210 310 3847 3097 85
U+1B3D8	210 310 3847 3427 85
U+1B3D9	210 310 3847 3757 85
U+1B3DA	210 310 3846 4087 85
U+1B3DB	210 310 3846 4417 85
U+1B3DC	210 310 3846 4747 85
U+1B3DD	210 310 3846 5077 85
U+1B3DE	210 310 3846 5407 85
U+1B3DF	210 310 3847 5737 85
U+1B3E0	210 310 4077 787 85
U+1B3E1	210 310 4077 1117 85
U+1B3E2	210 310 4077 1447 85
U+1B3E3	210 310 4077 1777 85
U+1B3E4	210 310 4077 2107 85
U+1B3E5	210 310 4077 2437 85
U+1B3E6	210 310 4077 2767 85
U+1B3E7	210 310 4077 3097 85
U+1B3E8	210 310 4077 3427 85
U+1B3E9	210 310 4077 3757 85
U+1B3EA	210 310 4077 4087 85
U+1B3EB	210 310 4077 4417 85
U+1B3EC	210 310 4077 4747 85
U+1B3ED	210 310 4077 5077 85
U+1B3EE	210 310 4077 5407 85
U+1B3EF	210 310 4078 5737 85
U+1B3F0	210 310 4308 787 85
U+1B3F1	210 310 4308 1117 85
U+1B3F2	210 310 4308 1447 85
U+1B3F3	210 310 4308 1777 85
U+1B3F4	210 310 4308 2107 85
U+1B3F5	210 310 4308 2437 85
U+1B3F6	210 310 4308 2767 85
U+1B3F7	210 310 4308 3097 85
U+1B3F8	210 310 4308 3427 85
U+1B3F9	210 310 4308 3757 85
U+1B3FA	210 310 4308 4087 85
U+1B3FB	210 310 4308 4417 85
U+1B3FC	210 310 4308 4747 85
U+1B3FD	210 310 4308 5077 85
U+1B3FE	210 310 4308 5407 85
U+1B3FF	210 310 4308 5737 85
U+1B400	210 310 579 787 86
U+1B401	210 310 579 1117 86
U+1B402	210 310 579 1447 86
U+1B403	210 310 579 1777 86
U+1B404	210 310 579 2107 86
U+1B405	210 310 579 2437 86
U+1B406	210 310 579 2767 86
U+1B407	210 310 579 3097 86
U+1B408	210 310 579 3427 86
U+1B409	210 310 579 3757 86
U+1B40A	210 310 580 4087 86
U+1B40B	210 310 580 4417 86
U+1B40C	210 310 580 4747 86
U+1B40D	210 310 580 5077 86
U+1B40E	210 310 580 5407 86
U+1B40F	210 310 579 5737 86
U+1B410	210 310 810 787 86
U+1B411	210 310 810 1117 86
U+1B412	210 310 810 1447 86
U+1B413	210 310 810 1777 86
U+1B414	210 310 810 2107 86
U+1B415	210 310 810 2437 86
U+1B416	210 310 810 2767 86
U+1B417	210 310 810 3097 86
U+1B418	210 310 810 3427 86
U+1B419	210 310 810 3757 86
U+1B41A	210 310 810 4087 86
U+1B41B	210 310 810 4417 86
U+1B41C	210 310 810 4747 86
U+1B41D	210 310 810 5077 86
U+1B41E	210 310 810 5407 86
U+1B41F	210 310 810 5737 86
U+1B420	210 310 1041 787 86
U+1B421	210 310 1041 1117 86
U+1B422	210 310 1041 1447 86
U+1B423	210 310 1041 1777 86
U+1B424	210 310 1041 2107 86
U+1B425	210 310 1041 2437 86
U+1B426	210 310 1041 2767 86
U+1B427	210 310 1041 3097 86
U+1B428	210 310 1041 3427 86
U+1B429	210 310 1041 3757 86
U+1B42A	210 310 1041 4087 86
U+1B42B	210 310 1041 4417 86
U+1B42C	210 310 1041 4747 86
U+1B42D	210 310 1041 5077 86
U+1B42E	210 310 1041 5407 86
U+1B42F	210 310 1041 5737 86
U+1B430	210 310 1272 787 86
U+1B431	210 310 1272 1117 86
U+1B432	210 310 1272 1447 86
U+1B433	210 310 1272 1777 86
U+1B434	210 310 1272 2107 86
U+1B435	210 310 1272 2437 86
U+1B436	210 310 1272 2767 86
U+1B437	210 310 1272 3097 86
U+1B438	210 310 1272 3427 86
U+1B439	210 310 1272 3757 86
U+1B43A	210 310 1272 4087 86
U+1B43B	210 310 1272 4417 86
U+1B43C	210 310 1272 4747 86
U+1B43D	210 310 1272 5077 86
U+1B43E	210 310 1272 5407 86
U+1B43F	210 310 1272 5737 86
U+1B440	210 310 1502 787 86
U+1B441	210 310 1502 1117 86
U+1B442	210 310 1502 1447 86
U+1B443	210 310 1502 1777 86
U+1B444	210 310 1502 2107 86
U+1B445	210 310 1502 2437 86
U+1B446	210 310 1502 2767 86
U+1B447	210 310 1502 3097 86
U+1B448	210 310 1502 3427 86
U+1B449	210 310 1502 3757 86
U+1B44A	210 310 1503 4087 86
U+1B44B	210 310 1503 4417 86
U+1B44C	210 310 1503 4747 86
U+1B44D	210 310 1503 5077 86
U+1B44E	210 310 1503 5407 86
U+1B44F	210 310 1502 5737 86
U+1B450	210 310 1733 787 86
U+1B451	210 310 1733 1117 86
U+1B452	210 310 1733 1447 86
U+1B453	210 310 1733 1777 86
U+1B454	210 310 1733 2107 86
U+1B455	210 310 1733 2437 86
U+1B456	210 310 1733 2767 86
U+1B457	210 310 1733 3097 86
U+1B458	210 310 1733 3427 86
U+1B459	210 310 1733 3757 86
U+1B45A	210 310 1734 4087 86
U+1B45B	210 310 1734 4417 86
U+1B45C	210 310 1734 4747 86
U+1B45D	210 310 1734 5077 86
U+1B45E	210 310 1734 5407 86
U+1B45F	210 310 1733 5737 86
U+1B460	210 310 1964 787 86
U+1B461	210 310 1964 1117 86
U+1B462	210 310 1964 1447 86
U+1B463	210 310 1964 1777 86
U+1B464	210 310 1964 2107 86
U+1B465	210 310 1964 2437 86
U+1B466	210 310 1964 2767 86
U+1B467	210 310 1964 3097 86
U+1B468	210 310 1964 3427 86
U+1B469	210 310 1964 3757 86
U+1B46A	210 310 1965 4087 86
U+1B46B	210 310 1965 4417 86
U+1B46C	210 310 1965 4747 86
U+1B46D	210 310 1965 5077 86
U+1B46E	210 310 1965 5407 86
U+1B46F	210 310 1964 5737 86
U+1B470	210 310 2195 787 86
U+1B471	210 310 2195 1117 86
U+1B472	210 310 2195 1447 86
U+1B473	210 310 2195 1777 86
U+1B474	210 310 2195 2107 86
U+1B475	210 310 2195 2437 86
U+1B476	210 310 2195 2767 86
U+1B477	210 310 2195 3097 86
U+1B478	210 310 2195 3427 86
U+1B479	210 310 2195 3757 86
U+1B47A	210 310 2195 4087 86
U+1B47B	210 310 2195 4417 86
U+1B47C	210 310 2195 4747 86
U+1B47D	210 310 2195 5077 86
U+1B47E	210 310 2195 5407 86
U+1B47F	210 310 2195 5737 86
U+1B480	210 310 2426 787 86
U+1B481	210 310 2426 1117 86
U+1B482	210 310 2426 1447 86
U+1B483	210 310 2426 1777 86
U+1B484	210 310 2426 2107 86
U+1B485	210 310 2426 2437 86
U+1B486	210 310 2426 2767 86
U+1B487	210 310 2426 3097 86
U+1B488	210 310 2426 3427 86
U+1B489	210 310 2426 3757 86
U+1B48A	210 310 2426 4087 86
U+1B48B	210 310 2426 4417 86
U+1B48C	210 310 2426 4747 86
U+1B48D	210 310 2426 5077 86
U+1B48E	210 310 2426 5407 86
U+1B48F	210 310 2426 5737 86
U+1B490	210 310 2657 787 86
U+1B491	210 310 2657 1117 86
U+1B492	210 310 2657 1447 86
U+1B493	210 310 2657 1777 86
U+1B494	210 310 2657 2107 86
U+1B495	210 310 2657 2437 86
U+1B496	210 310 2657 2767 86
U+1B497	210 310 2657 3097 86
U+1B498	210 310 2657 3427 86
U+1B499	210 310 2657 3757 86
U+1B49A	210 310 2657 4087 86
U+1B49B	210 310 2657 4417 86
U+1B49C	210 310 2657 4747 86
U+1B49D	210 310 2657 5077 86
U+1B49E	210 310 2657 5407 86
U+1B49F	210 310 2657 5737 86
U+1B4A0	210 310 2888 787 86
U+1B4A1	210 310 2888 1117 86
U+1B4A2	210 310 2888 1447 86
